ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
RSG,Republic Services,Industrials,A,2,2024-12-31,1.1360806663743972,5.861818181818182,0.5828488372093024,0.12743263473053892,0.06305166347756311,2.71863197650021,10.510571817680582
ITW,Illinois Tool Works,Industrials,A,2,2024-12-31,2.436067551266586,15.06713780918728,1.3593314763231197,0.2193986664989307,0.23149930311276298,1.5817505384766009,10.178026788270433
EMR,Emerson Electric,Industrials,A,2,2025-09-30,0.6783847746770535,9.443037974683545,0.8760845156680617,0.12727575488454707,0.05464207415880278,2.8310699588477366,10.62287687835687
ETN,Eaton Corp,Industrials,A,2,2024-12-31,0.5312094331458244,33.791666666666664,1.501972763141148,0.15250422059651098,0.09885099398139705,1.7440951873557096,10.584116285897737
ROK,Rockwell Automation,Industrials,A,2,2025-09-30,0.9980842911877394,9.121794871794872,1.135268505079826,0.10417166147206905,0.07745788394687583,2.6087267525035767,10.049954148022046
AMD,AMD,Technology,A-,2,2024-12-28,0.03842412451361868,20.652173913043477,2.6162615025408598,0.06364165212332752,0.02370496634212579,0.4206922784328642,10.84026923803762
QCOM,Qualcomm,Technology,A-,2,2025-09-28,0.6984344053569744,18.606927710843372,2.8164916885389326,0.1251241983560654,0.1105039586781804,0.9920959206912721,10.70021031375602
IBM,IBM,Technology,A-,2,2024-12-31,2.138499285897389,5.884345794392523,1.0404320801400035,0.0959794750848565,0.04390741753234919,4.795992115637319,11.137274968868116
BA,Boeing,Industrials,A-,2,2024-12-31,50.0,-3.9592660550458714,1.318506767753765,-0.17765116209146398,-0.0755741447784962,5.430910931376971,11.194133994268185
GE,General Electric,Industrials,A-,2,2024-12-31,1.0535621962568504,6.856997971602434,1.094295184926727,0.16939693039119424,0.05213062873227789,2.081511746680286,11.099545982041032
LMT,Lockheed Martin,Industrials,A-,2,2024-12-31,3.3819674719722093,6.769305019305019,1.1250772399588054,0.07510944076122912,0.09594188827157164,2.4294464609800364,10.745207559167046
NOC,Northrop Grumman,Industrials,A-,2,2024-12-31,1.203139306736429,7.037037037037037,1.0103340883352208,0.10172300343625862,0.08456411191474705,2.689866939611054,10.693366352425485
GD,General Dynamics,Industrials,A-,2,2024-12-31,0.4838870507183973,12.20356234096692,1.3681552962298025,0.0792606253667533,0.067680744452398,1.8346794981955663,10.747256397442145
UPS,UPS,Industrials,A-,2,2024-12-31,1.5343940662758704,10.087108013937282,1.174502767471565,0.0636125596849077,0.08251748251748252,2.1534586971121557,10.845532117493576
DIS,Walt Disney,Communication,A-,2,2025-09-27,0.4084591650055976,7.63355408388521,0.7103506820443768,0.1313635160180037,0.06280061160221553,2.3445483517057624,11.29559788430303
CMCSA,Comcast,Communication,A-,2,2024-12-31,1.1581697054698457,5.635703918722787,0.6771178090497966,0.1308645367773638,0.0608239328953349,2.634891512444161,11.425225996820851
TMUS,T-Mobile,Communication,A-,2,2024-12-31,1.852966424256167,5.279976546467312,0.9122633092098741,0.1392997542997543,0.05450525152017689,3.6854584111848463,11.318136407213425
CL,Colgate-Palmolive,Consumer Staples,A-,2,2024-12-31,40.15094339622642,15.01027397260274,0.9232505643340858,0.14372419282622756,0.1800448709958868,1.7539666185864413,10.205366787866476
EL,Estee Lauder,Consumer Staples,A-,2,2025-06-30,2.4421733505821477,2.371287128712871,1.3006439742410303,-0.0792973124300112,-0.05695757088276694,48.90673575129534,10.298678450560187
KMB,Kimberly-Clark,Consumer Staples,A-,2,2024-12-31,9.423809523809524,11.88888888888889,0.7966876070816676,0.12688204207797388,0.15381361054031187,1.9899446958270488,10.218693019991356
